DATAFLOW;LAST UPDATE;freq;nrg_bal;siec;unit;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2019;11378500;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2020;11852091;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2021;30565261;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;ES;2022;61262838;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2000;437298097;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2001;526059118;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2002;559507773;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2003;584778575;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2004;664855224;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2005;713552176;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2006;688086272;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2007;683795983;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2008;749612504;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2009;712597594;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2010;816006879;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2011;816682965;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2012;842115471;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2013;969777334;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2014;903705574;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2015;915786507;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2016;822456694;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2017;645927519;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2018;320534243;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2019;387359445;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2020;305799217;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2021;311747587;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;EU27_2020;2022;563699030;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2000;7920085;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2001;9295350;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2002;8767024;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2003;10476028;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2004;14636619;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2005;10504884;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2006;7899587;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2007;9047900;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2008;12747715;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2009;22406438;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2010;29745422;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2011;67509518;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2012;62380800;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2013;52474719;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2014;46114371;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2015;34647966;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2016;16795836;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2017;40885199;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2018;37454604;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2019;94844722;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;G3000;GWH;FR;2020;84518290;
